유의어	반의어	예문	해석
comply, adhere	disobey, defy	Employees must abide by the company’s code of conduct.	직원들은 회사의 행동 강령을 따라야 합니다.
achieve, fulfill	fail	We can accomplish our goals through teamwork and dedication.	우리는 팀워크와 헌신을 통해 목표를 성취할 수 있습니다.
consequently, therefore	-	The project timeline has changed; please adjust your schedules accordingly.	프로젝트 일정이 변경되었으니, 그에 따라 일정을 조정해 주세요.
assign, distribute	withhold	The manager allocated resources to ensure the project's success.	매니저는 프로젝트의 성공을 위해 자원을 할당했습니다.
candidate, contender	-	Each applicant must submit a resume and cover letter.	각 지원자는 이력서와 자기소개서를 제출해야 합니다.
value, recognize	disregard, depreciate	I appreciate your hard work on this project.	이 프로젝트에 대한 당신의 노고에 감사드립니다.
property, resource	liability	Her experience in marketing is a valuable asset to the team.	그녀의 마케팅 경험은 팀에 있어 귀중한 자산입니다.
allocate, designate	revoke	The teacher assigned a 500-word essay to the students.	교사는 학생들에게 500단어 에세이를 과제로 내주었습니다.
presence	absence	Attendance at the seminar is mandatory for all employees.	세미나 참석은 모든 직원에게 의무입니다.
empower, permit	forbid, prohibit	Only the manager is authorized to approve budget changes.	예산 변경을 승인할 수 있는 사람은 매니저뿐입니다.
advantage, profit	drawback, disadvantage	One benefit of this job is the flexible working hours.	이 직업의 장점 중 하나는 유연한 근무 시간입니다.
extra, reward	penalty	Employees receive a year-end bonus based on performance.	직원들은 성과에 따라 연말 보너스를 받습니다.
financial plan	-	The project was completed under budget.	그 프로젝트는 예산 내에서 완료되었습니다.
applicant, nominee	-	The candidate with the most experience was selected for the position.	가장 많은 경력을 가진 후보자가 해당 직위에 선발되었습니다.
volume, capability	incapacity	The conference room has a capacity of 100 people.	회의실은 100명을 수용할 수 있습니다.
coworker, associate	-	She discussed the project with her colleagues.	그녀는 동료들과 프로젝트에 대해 논의했습니다.
travel, shuttle	-	He commutes to work by train every day.	그는 매일 기차로 출근합니다.
grievance, objection	compliment	The customer filed a complaint about the service.	고객은 서비스에 대해 불만을 제기했습니다.
verify, validate	deny, refute	Please confirm your attendance by replying to this email.	이 이메일에 답장하여 참석 여부를 확인해 주세요.
agree, approve	dissent, refuse	The patient consented to the medical procedure.	환자는 그 의료 시술에 동의했습니다.
agreement, pact	-	Both parties signed the contract.	양측은 계약서에 서명했습니다.
donate, provide	withhold	She contributed significantly to the project's success.	그녀는 프로젝트의 성공에 큰 기여를 했습니다.
handy, accessible	inconvenient	Online shopping is a convenient way to buy goods.	온라인 쇼핑은 물건을 사는 편리한 방법입니다.
collaborate, assist	resist, hinder	The two companies agreed to cooperate on the new venture.	두 회사는 새로운 사업에 협력하기로 합의했습니다.
standards, benchmarks	-	The main criteria for selection are experience and qualifications.	선발의 주요 기준은 경력과 자격입니다.
decrease, refuse	increase, accept	Sales declined by 10% last quarter.	지난 분기 매출이 10% 감소했습니다.
